Batch started: Mon Feb  2 14:21:14 EAST 2026
Mesh,Re,Velocity,MaxIters,ActualIters,FinalResidual,Status,Time
coronary_extracted_vessel,50,0.002848407934482771,1000,22,9.2912e-04,CONVERGED,93s
coronary_extracted_vessel,75,0.004272611901724156,1000,22,9.1338e-04,CONVERGED,95s
coronary_extracted_vessel,100,0.005696815868965542,1000,23,8.3335e-04,CONVERGED,93s
coronary_extracted_vessel,125,0.007121019836206928,1000,23,9.4741e-04,CONVERGED,92s
coronary_extracted_vessel,150,0.008545223803448312,1000,24,8.4115e-04,CONVERGED,93s
coronary_extracted_vessel,175,0.009969427770689697,1000,25,7.7906e-04,CONVERGED,94s
coronary_extracted_vessel,200,0.011393631737931084,1000,25,8.8126e-04,CONVERGED,92s
coronary_extracted_vessel,225,0.012817835705172469,1000,26,8.7999e-04,CONVERGED,97s
coronary_extracted_vessel,250,0.014242039672413855,1000,27,8.2232e-04,CONVERGED,99s
coronary_extracted_vessel,275,0.015666243639655242,1000,28,8.4760e-04,CONVERGED,101s
coronary_extracted_vessel,300,0.017090447606896625,1000,29,8.3453e-04,CONVERGED,104s
coronary_extracted_vessel,350,0.019938855541379395,1000,31,8.7926e-04,CONVERGED,103s
coronary_extracted_vessel,400,0.022787263475862168,1000,32,9.7827e-04,CONVERGED,103s
coronary_extracted_vessel,450,0.025635671410344937,1000,34,9.5866e-04,CONVERGED,105s
coronary_extracted_vessel,500,0.02848407934482771,1000,36,9.3344e-04,CONVERGED,107s
coronary_extracted_vessel,600,0.03418089521379325,1500,39,9.6643e-04,CONVERGED,108s
coronary_extracted_vessel,700,0.03987771108275879,1500,42,9.8595e-04,CONVERGED,113s
coronary_extracted_vessel,800,0.045574526951724335,1500,45,9.8890e-04,CONVERGED,115s
Batch ended: Mon Feb  2 14:51:25 EAST 2026
